"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height"
"S133","prolific",2025-10-03 19:27:56,43.3627666666667,"opera 122.0.0","false","Windows 10",1866,911
"S316","prolific",2025-10-04 06:36:34,36.8056333333333,"chrome 140.0.0","false","Mac OS",1512,823
"S170","prolific",2025-10-03 12:56:23,20.85,"chrome 140.0.0","false","Windows 10",1920,911
"S301","prolific",2025-10-03 17:06:02,29.09955,"edge-chromium 140.0.0","false","Windows 10",2040,1154
"S066","prolific",2025-10-03 16:08:50,42.9024333333333,"chrome 140.0.0","false","Windows 10",1280,687
"S230","prolific",2025-10-03 20:57:42,31.0078166666667,"chrome 140.0.0","false","Windows 10",1536,855
"S274","prolific",2025-10-03 16:09:05,33.2447166666667,"chrome 141.0.0","false","Windows 10",1366,599
"S252","prolific",2025-10-03 22:52:24,34.68755,"edge-chromium 140.0.0","false","Windows 10",1358,612
"S285","prolific",2025-10-03 09:21:18,25.7984833333333,"chrome 140.0.0","false","Windows 10",1536,730
"S138","prolific",2025-10-03 13:16:49,27.0570333333333,"chrome 140.0.0","false","Windows 10",1536,730
"S177","prolific",2025-10-03 14:08:20,72.3803333333333,"chrome 140.0.0","false","Windows 10",1536,742
"S224","prolific",2025-10-03 18:13:19,32.6011,"chrome 128.0.0","false","Mac OS",1440,740
"S080","prolific",2025-10-03 19:36:06,40.6542,"ios 18.5.0","true","iOS",980,1653
"S128","prolific",2025-10-03 17:32:38,27.49715,"firefox 143.0.0","false","Windows 10",1536,731
"S260","prolific",2025-10-03 16:50:22,21.903,"edge-chromium 140.0.0","false","Windows 10",1912,954
"S078","prolific",2025-10-11 12:18:45,17.55525,"chrome 140.0.0","false","Mac OS",1280,606
"S359","prolific",2025-10-03 18:55:28,48.0748,"chrome 141.0.0","false","Windows 10",1536,730
"S259","prolific",2025-10-03 16:49:49,64.6756,"chrome 140.0.0","false","Windows 10",1920,945
"S114","prolific",2025-10-04 10:53:09,137.862783333333,"chrome 140.0.0","false","Windows 10",1536,695
"S211","prolific",2025-10-08 14:18:28,23.60855,"chrome 140.0.0","false","Windows 10",1368,777
"S354","prolific",2025-10-03 15:16:35,33.28405,"chrome 140.0.0","false","Windows 10",1536,826
"S358","prolific",2025-10-12 19:01:45,31.7366166666667,"edge-chromium 141.0.0","false","Windows 10",1528,716
"S297","prolific",2025-10-04 09:09:05,79.38045,"edge-chromium 140.0.0","false","Windows 10",1912,954
