"Contrast","Effect","Median","CI_low","CI_high","pd","Model","Outcome"
"AI-Generated - Human Original","Proportion mediated",25.8145836055525,13.7643678020172,40.1361931037468,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Mediator (a)",-3.69052419354839,-4.81586021505376,-2.62730414746544,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Total",-1.37791446979841,-3.19494978110612,0.353585038605886,0.93925,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Direct",-0.65903049971322,-2.4031785340061,1.13191397631753,0.768,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Indirect",-0.717568151226039,-1.08191077759584,-0.409039144568157,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Proportion mediated",47.5375512038062,-290.220688054479,426.493056367869,0.93925,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Forgery","Mediator (a)",-2.19527649769585,-3.30616359447005,-1.08592549923195,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Forgery","Total",-3.52636892907268,-5.39016906041446,-1.62092100376584,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Forgery","Direct",-3.0393967838677,-4.96008400082588,-1.19488427421609,0.99925,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Forgery","Indirect",-0.466967888976705,-0.780139043075323,-0.195616413344218,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Forgery","Proportion mediated",13.3620553238028,4.62238415680321,27.5416517827748,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Original","Mediator (a)",-5.89429723502304,-7.01977726574501,-4.88460061443932,1,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Original","Total",-1.23556812072864,-2.62219517500201,0.196289819870477,0.95625,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Original","Direct",-0.541748404703479,-1.91134411654849,0.891191923903978,0.76775,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Original","Indirect",-0.689372417091266,-1.0341890597995,-0.330975155085578,0.99975,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Original","Proportion mediated",52.640683204382,-232.569101506559,433.229412473441,0.956,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Mediator (a)",-3.69052419354839,-4.81586021505376,-2.62730414746544,1,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Total",-2.15641994207953,-3.63369818905467,-0.625043667013114,0.996,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Direct",-1.71835799754294,-3.25372046496575,-0.253573249249761,0.9835,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Indirect",-0.429641438175093,-0.691764376237769,-0.202022886547271,1,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Proportion mediated",20.0569330769813,5.84510284619968,52.7821857327987,0.996,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Forgery","Mediator (a)",-2.19527649769585,-3.30616359447005,-1.08592549923195,1,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Forgery","Total",0.91747266857875,-0.533741274512389,2.57503951369286,0.878,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Forgery","Direct",1.17745988328417,-0.287937539281369,2.8022992128317,0.93625,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Forgery","Indirect",-0.252767897766676,-0.458545707939295,-0.0926758096255198,0.99975,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Forgery","Proportion mediated",-21.511833909953,-297.99068519198,266.959799111345,0.87775,"AuthenticityBeautyControl","Authenticity by Phase-1 Beauty, controlling follow-up Beauty"
