"Outcome","Emotion","Contrast","Parameter","Difference","CI_low","CI_high","pd","Credible","Effect"
"Artificiality","Negative - Low intensity","Human Forgery - Human Original","response",0.0177054324518895,-0.0253465666664643,0.061832214326656,0.802142857142857,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Forgery","bex",0.0596966181699528,-0.0657466947131264,0.194658246359717,0.824464285714286,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Forgery","confleft",0.00936182666437604,-0.0181185006938489,0.0373183667278473,0.747321428571429,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Forgery","confright",-0.00709964693059487,-0.025723337285141,0.0120669123212811,0.77125,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Forgery","mu",0.000139502773444655,-0.0466533151547411,0.0464178576451399,0.503928571428571,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Forgery","pex",0.00185519927041101,-0.00853056722686506,0.0132680305189857,0.649285714285714,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Forgery","pmid",0.00297986550424,0.000278648341321636,0.00666402496664225,0.984464285714286,TRUE,"Positive"
"Artificiality","Overall","AI-Generated - Human Forgery","precleft",-0.19558469,-0.97537444944375,0.5568509321625,0.693035714285714,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Forgery","precright",0.121574746874999,-0.45236622783125,0.684547573425,0.661607142857143,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Forgery","response",-0.00384047000899829,-0.0246630349789675,0.0164926906238755,0.647678571428571,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Original","bex",0.0518515130934925,-0.0735325373551135,0.180188184490451,0.7925,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Original","confleft",-0.0102358804817526,-0.0319597299019128,0.0108017548773065,0.827321428571429,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Original","confright",0.00245899494799301,-0.0147974403203963,0.0209590925584182,0.604107142857143,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Original","mu",0.00103048922427601,-0.0477844785486114,0.0504069210945434,0.517321428571429,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Original","pex",0.000675814039085246,-0.0101129504392108,0.0126797575479358,0.556785714285714,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Original","pmid",-0.000465308372033678,-0.00386298272136166,0.00270363670006267,0.621607142857143,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Original","precleft",0.17713411125,-0.4217416319375,0.8459981723175,0.705,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Original","precright",0.404848087365,-0.0602754745624993,0.9135879482875,0.95625,FALSE,"n.s."
"Artificiality","Overall","AI-Generated - Human Original","response",0.0034380903770177,-0.0181896613558385,0.0251679702456636,0.622678571428571,FALSE,"n.s."
"Artificiality","Overall","Human Forgery - Human Original","bex",-0.00870612073068688,-0.142902104827986,0.12521730624657,0.549285714285714,FALSE,"n.s."
"Artificiality","Overall","Human Forgery - Human Original","confleft",-0.0194971732218235,-0.0449687790723031,0.005308344682193,0.937321428571429,FALSE,"n.s."
"Artificiality","Overall","Human Forgery - Human Original","confright",0.00940399831802763,-0.008960379888318,0.0276878261291985,0.846428571428571,FALSE,"n.s."
"Artificiality","Overall","Human Forgery - Human Original","mu",0.0011339557763016,-0.0481272760422489,0.0505151674782425,0.516785714285714,FALSE,"n.s."
"Artificiality","Overall","Human Forgery - Human Original","pex",-0.00112938607991639,-0.0122408367847289,0.0093116079527962,0.59625,FALSE,"n.s."
"Artificiality","Overall","Human Forgery - Human Original","pmid",-0.00340628443975058,-0.00751659284673639,-0.000664053707619231,0.992678571428571,TRUE,"Negative"
"Artificiality","Overall","Human Forgery - Human Original","precleft",0.369137092625,-0.261184727568751,1.0662605089375,0.870714285714286,FALSE,"n.s."
