"Model","Predictor","Level1","Response1","Level2","Response2","Median","CI_low","CI_high","pd","Credible"
"MemoryBelief","Belief","AI Original","Not recognized","AI Original","AI Copy",0.559448993423324,0.511905549153216,0.603602246441657,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","Human Forgery","AI Copy",0.569078320354791,0.523595745830077,0.611942066641637,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","Human Original","AI Copy",0.579709334010554,0.535409510234829,0.620855892417448,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","None","AI Copy",0.597888546866185,0.557203202977763,0.635950471542528,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","AI Copy","AI Copy",0.553587655721173,0.507791781914001,0.596779538834325,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","AI Original","AI Copy",0.549656125868978,0.501443819044675,0.592206934783942,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","Human Forgery","AI Copy",0.559810478073531,0.51096147195541,0.604535469772933,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","Human Original","AI Copy",0.570057080117985,0.524741534945765,0.611734390528581,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","None","AI Copy",0.587936552212946,0.545549544338149,0.626690300119247,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","AI Copy","AI Copy",0.555143950694434,0.51235985932029,0.593004394614626,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","AI Original","AI Copy",0.55068619356241,0.508088454966802,0.58913044979177,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","Human Forgery","AI Copy",0.560792477242893,0.51774903431773,0.599109928328723,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","Human Original","AI Copy",0.571056617581901,0.530156127057889,0.608232039284031,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","None","AI Copy",0.5894328294763,0.551914107728241,0.622603987773313,1,TRUE
"MemoryBelief","Belief","None","Not recognized","AI Copy","AI Copy",0.814508849663568,0.791371367448964,0.832436453157918,1,TRUE
"MemoryBelief","Belief","None","Not recognized","AI Original","AI Copy",0.810150960493168,0.785672747526803,0.82884027225076,1,TRUE
"MemoryBelief","Belief","None","Not recognized","Human Forgery","AI Copy",0.820407809498473,0.795997499002433,0.839338652239503,1,TRUE
"MemoryBelief","Belief","None","Not recognized","Human Original","AI Copy",0.830874961364579,0.807833732634538,0.84820028967951,1,TRUE
"MemoryBelief","Belief","None","Not recognized","None","AI Copy",0.849145239600299,0.823333451029568,0.867899099183104,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","AI Copy","AI Original",0.492215010085116,0.431968332248339,0.544239863932689,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","AI Original","AI Original",0.462501629024532,0.400817104141723,0.51560026900083,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","Human Forgery","AI Original",0.517741296039244,0.460653574815422,0.565292842424478,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","Human Original","AI Original",0.527377561830493,0.473675843925938,0.572421012886823,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","None","AI Original",0.582269496270224,0.5408818838527,0.616853516263201,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","AI Copy","AI Original",0.483261222524409,0.425365443894303,0.535779389479971,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","AI Original","AI Original",0.453733920416396,0.389071434602426,0.511264071698154,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","Human Forgery","AI Original",0.508740559087547,0.453539776084394,0.558741505970434,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","Human Original","AI Original",0.517822467747033,0.465744448672262,0.565847559389096,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","None","AI Original",0.57369824155672,0.532532158686716,0.609601796417963,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","AI Copy","AI Original",0.473676896185865,0.415776892082834,0.525029822614712,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","AI Original","AI Original",0.444000292433934,0.383671101393183,0.499582510459773,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","Human Forgery","AI Original",0.498351629917306,0.439956275539548,0.552235825989471,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","Human Original","AI Original",0.508629871488669,0.455772071663983,0.556211262371582,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","None","AI Original",0.563508567648603,0.521759431051217,0.600580721086672,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","AI Copy","AI Original",0.475071144503076,0.419092896838226,0.522754864468788,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","AI Original","AI Original",0.44501215735812,0.386873260034099,0.495864694419143,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","Human Forgery","AI Original",0.499836847099715,0.447533384965931,0.54683236159826,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","Human Original","AI Original",0.510145961257131,0.460107821551114,0.55428066553261,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","None","AI Original",0.564747732346255,0.527770233131833,0.596543398710424,1,TRUE
"MemoryBelief","Belief","None","Not recognized","AI Copy","AI Original",0.733930730822827,0.70577882411149,0.755823765436916,1,TRUE
"MemoryBelief","Belief","None","Not recognized","AI Original","AI Original",0.704398389349046,0.673586568243657,0.727595985840011,1,TRUE
"MemoryBelief","Belief","None","Not recognized","Human Forgery","AI Original",0.75951607976209,0.730327745069626,0.782029539431475,1,TRUE
"MemoryBelief","Belief","None","Not recognized","Human Original","AI Original",0.769235750886627,0.744424967346623,0.78711052777434,1,TRUE
"MemoryBelief","Belief","None","Not recognized","None","AI Original",0.824789878019503,0.793539074348211,0.848293079835144,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","AI Copy","Human Forgery",0.544675172209687,0.493850479697512,0.589287567578076,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","AI Original","Human Forgery",0.558932831256351,0.510874908709041,0.600735886230171,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","Human Forgery","Human Forgery",0.532933042570775,0.483561984765624,0.577399316405949,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","Human Original","Human Forgery",0.545141181673831,0.496983974252661,0.588118907073007,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","None","Human Forgery",0.590889532736588,0.549130159309421,0.625071635554704,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","AI Copy","Human Forgery",0.535822297588199,0.487435055868366,0.58100421883879,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","AI Original","Human Forgery",0.54972555085328,0.50073237388069,0.594942061762052,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","Human Forgery","Human Forgery",0.524052893307378,0.47390340703249,0.570360593691447,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","Human Original","Human Forgery",0.536397728384179,0.488579837725108,0.580970507043081,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","None","Human Forgery",0.581916121640763,0.541269377655187,0.618719986342998,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","AI Copy","Human Forgery",0.525877891683164,0.477074699306409,0.572063302108239,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","AI Original","Human Forgery",0.5400431069696,0.491782454812515,0.584540591327889,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","Human Forgery","Human Forgery",0.514233089999921,0.461013477442184,0.562388650205146,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","Human Original","Human Forgery",0.526637962451859,0.478567076209367,0.572214422037241,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","None","Human Forgery",0.572444854403417,0.530434795580892,0.60979417118739,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","AI Copy","Human Forgery",0.527006448288385,0.482550921478753,0.568761213529296,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","AI Original","Human Forgery",0.541454007303055,0.497025066292724,0.5815828435223,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","Human Forgery","Human Forgery",0.515431764820547,0.470166031631568,0.558731597369225,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","Human Original","Human Forgery",0.527664116580579,0.483221876488571,0.569080116337494,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","None","Human Forgery",0.573463527770404,0.536178253108658,0.605265469855034,1,TRUE
"MemoryBelief","Belief","None","Not recognized","AI Copy","Human Forgery",0.78670491125845,0.76191034960774,0.805778032065959,1,TRUE
"MemoryBelief","Belief","None","Not recognized","AI Original","Human Forgery",0.800897174221873,0.77621138811584,0.81980924040327,1,TRUE
"MemoryBelief","Belief","None","Not recognized","Human Forgery","Human Forgery",0.774954622857189,0.750334591411363,0.794672062865656,1,TRUE
"MemoryBelief","Belief","None","Not recognized","Human Original","Human Forgery",0.787493101323521,0.764817055455086,0.804009364450935,1,TRUE
"MemoryBelief","Belief","None","Not recognized","None","Human Forgery",0.833125793756815,0.80505617873764,0.8539221641225,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","AI Copy","Human Original",0.481721408986266,0.423806887692686,0.532261784491876,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","AI Original","Human Original",0.493075171064196,0.439511116671454,0.540111807659344,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","Human Forgery","Human Original",0.44406605288418,0.386741744752225,0.494551013970502,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","Human Original","Human Original",0.412408212751247,0.353545363728686,0.464364084811135,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","None","Human Original",0.553521455172796,0.512366663334523,0.586541190040179,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","AI Copy","Human Original",0.472561115942928,0.418917204884586,0.523059304042336,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","AI Original","Human Original",0.484312431009353,0.428041511675708,0.535182201687215,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","Human Forgery","Human Original",0.435034343955344,0.377604498804804,0.487910528830551,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","Human Original","Human Original",0.403919341611941,0.344832334152565,0.458803883329874,1,TRUE
"MemoryBelief","Belief","AI Original","Not recognized","None","Human Original",0.544561268562917,0.503592120551892,0.579850278782343,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","AI Copy","Human Original",0.463432300413224,0.408427001337089,0.513366150668188,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","AI Original","Human Original",0.474444126441619,0.419432355237595,0.523076761021575,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","Human Forgery","Human Original",0.425060463255295,0.361814039760588,0.482011528016083,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","Human Original","Human Original",0.393949949205498,0.334132242135787,0.448402032402496,1,TRUE
"MemoryBelief","Belief","Human Forgery","Not recognized","None","Human Original",0.534673643348571,0.493585071340533,0.571126393372218,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","AI Copy","Human Original",0.464379787284547,0.411872910974226,0.510839848776078,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","AI Original","Human Original",0.475569871225071,0.425217408502344,0.520288869499079,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","Human Forgery","Human Original",0.426993331775799,0.371349556264673,0.475894229637339,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","Human Original","Human Original",0.395470628863668,0.339062561855346,0.447647144252052,1,TRUE
"MemoryBelief","Belief","Human Original","Not recognized","None","Human Original",0.536115537644242,0.499190087383,0.566099519476083,1,TRUE
"MemoryBelief","Belief","None","Not recognized","AI Copy","Human Original",0.723734402039031,0.697659319090296,0.744905955439161,1,TRUE
"MemoryBelief","Belief","None","Not recognized","AI Original","Human Original",0.735048355051602,0.708225327420464,0.754882642793838,1,TRUE
"MemoryBelief","Belief","None","Not recognized","Human Forgery","Human Original",0.68607396399174,0.655830774166872,0.709963283118068,1,TRUE
"MemoryBelief","Belief","None","Not recognized","Human Original","Human Original",0.655300248205961,0.628280586084984,0.673298195097616,1,TRUE
"MemoryBelief","Belief","None","Not recognized","None","Human Original",0.79579263568021,0.761920376974623,0.820780224879692,1,TRUE
"MemoryBelief","Belief","AI Copy","Not recognized","AI Original","Not recognized",0.00931358756476813,-0.0181005764251659,0.0377336401554133,0.739,FALSE
"MemoryBelief","Belief","AI Copy","Not recognized","Human Forgery","Not recognized",0.0184454541305771,-0.0120394153559123,0.0502688872013718,0.876,FALSE
"MemoryBelief","Belief","AI Copy","Not recognized","Human Original","Not recognized",0.0173041765487724,-0.00504630835478005,0.0406714812034482,0.92575,FALSE
"MemoryBelief","Belief","AI Original","Not recognized","Human Forgery","Not recognized",0.00967208218129662,-0.0226109257473801,0.0408512307064225,0.72,FALSE
"MemoryBelief","Belief","AI Original","Not recognized","Human Original","Not recognized",0.00836111095162773,-0.0175583089162957,0.0322347501471646,0.74525,FALSE
"MemoryBelief","Belief","Human Forgery","Not recognized","Human Original","Not recognized",-0.0011743135132275,-0.0291501120905247,0.0251360918220485,0.5355,FALSE
"MemoryBelief","Belief","None","Not recognized","AI Copy","Not recognized",0.2420077087269,0.191817608362571,0.291740724228133,1,TRUE
"MemoryBelief","Belief","None","Not recognized","AI Original","Not recognized",0.25141753772359,0.197541125215185,0.300756656374554,1,TRUE
"MemoryBelief","Belief","None","Not recognized","Human Forgery","Not recognized",0.260546929747807,0.207100400486647,0.311705426169268,1,TRUE
"MemoryBelief","Belief","None","Not recognized","Human Original","Not recognized",0.259760081835488,0.209258359231395,0.307287516069732,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Copy","AI Copy","AI Copy",0.00534166669122473,-0.00765266449399192,0.0181942248162637,0.789,FALSE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Copy","AI Copy","AI Copy",-0.00595229125315433,-0.019579174012243,0.00795812151324828,0.79475,FALSE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Copy","AI Original","AI Copy",-0.0113694498689436,-0.0259587851104964,0.00394573104957172,0.92925,FALSE
"MemoryBeliefAppraisal","Belief","Human Original","AI Copy","AI Copy","AI Copy",-0.016878074800438,-0.0274017702313726,-0.00722748776907623,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Copy","AI Original","AI Copy",-0.0223600261589432,-0.0337081584924052,-0.0111323172003343,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Copy","Human Forgery","AI Copy",-0.0110835948807013,-0.0231487927033969,0.000224331238260201,0.9735,FALSE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Copy","AI Copy","Not recognized",-0.526991977956584,-0.548526722382576,-0.505137942911487,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Copy","AI Original","Not recognized",-0.517614523919356,-0.539456513272159,-0.496228336206536,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Copy","Human Forgery","Not recognized",-0.51320688151156,-0.539271873718248,-0.487685782891195,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Copy","Human Original","Not recognized",-0.522909410822613,-0.53813069360622,-0.507635394137705,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Copy","AI Copy","Not recognized",-0.521822877127524,-0.542131511942275,-0.501216839233051,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Copy","AI Original","Not recognized",-0.512329941743105,-0.536031528693449,-0.487990373614277,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Copy","Human Forgery","Not recognized",-0.507896258881309,-0.533704255324039,-0.48330807849201,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Copy","Human Original","Not recognized",-0.517625984840579,-0.533478190576865,-0.501800824869405,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Copy","AI Copy","Not recognized",-0.532751959029143,-0.554281960389006,-0.512292462616947,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Copy","AI Original","Not recognized",-0.52338625432068,-0.545353066045657,-0.501560230044786,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Copy","Human Forgery","Not recognized",-0.519381909797582,-0.548505983617147,-0.490714227394794,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Copy","Human Original","Not recognized",-0.528987829543543,-0.544579878655135,-0.512543411530831,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Copy","AI Copy","Not recognized",-0.543972667355541,-0.562662032593792,-0.525229067535757,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Copy","AI Original","Not recognized",-0.53460409552532,-0.554835061166955,-0.513878702054442,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Copy","Human Forgery","Not recognized",-0.530401609717491,-0.555708285224464,-0.506087385978337,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Copy","Human Original","Not recognized",-0.54001534873511,-0.554145106216993,-0.525357738147049,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Original","AI Copy","AI Copy",0.0900907568147296,0.0731643632140409,0.107315923704371,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Original","AI Original","AI Copy",0.0848888938960543,0.0675513649521993,0.102090464508778,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Original","Human Forgery","AI Copy",0.0960845792254338,0.0784538936678972,0.113588281821341,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Original","Human Original","AI Copy",0.107085311596996,0.0930728931900306,0.122448964431611,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Original","AI Copy","AI Copy",0.123929732211427,0.106628033857267,0.142265749840122,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Original","AI Original","AI Copy",0.118656501138308,0.0994861547819388,0.138844053374738,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Original","Human Forgery","AI Copy",0.130036742562411,0.110979201677929,0.149032478463491,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Original","Human Original","AI Copy",0.141071201574755,0.125048408034099,0.15770445567305,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Original","AI Copy","AI Copy",0.0646504407644744,0.0455814519193409,0.0845310384585196,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Original","AI Original","AI Copy",0.059208200676602,0.0389071034270998,0.0792555220389087,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Original","Human Forgery","AI Copy",0.0703196746530085,0.0497928984309873,0.0918397717120617,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Original","Human Original","AI Copy",0.0815466020199143,0.0640080564567744,0.0999771159883796,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","AI Copy","AI Copy",0.0531649454595401,0.0409287183382072,0.0655241676284442,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","AI Original","AI Copy",0.0479676336552293,0.0346139665415695,0.0611643497788834,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","Human Forgery","AI Copy",0.0591802723419181,0.0447968692079853,0.0730974375628387,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","Human Original","AI Copy",0.0702548048892657,0.0590910475232166,0.0812673588039249,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Original","AI Copy","AI Original",0.0340814703044976,0.0124546303796377,0.0548066106247041,0.9975,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Original","AI Copy","AI Original",-0.0255129355460377,-0.0480286402490957,-0.00332384962402472,0.9875,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Original","AI Original","AI Original",-0.0595932033445234,-0.0837945950304381,-0.0361196903113891,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","AI Copy","AI Original",-0.0370036554575146,-0.0539673328135002,-0.020112989563946,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","AI Original","AI Original",-0.0708965156712672,-0.0901153455776468,-0.0522558828146549,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","Human Forgery","AI Original",-0.0114413925522321,-0.0310411067008723,0.00785590985225552,0.87075,FALSE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Original","AI Copy","Not recognized",-0.437013842075465,-0.463315620964335,-0.409090333543513,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Original","AI Original","Not recognized",-0.427584835504775,-0.450715310284873,-0.402460611505053,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Original","Human Forgery","Not recognized",-0.423009902340304,-0.450656948165743,-0.396175737643889,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","AI Original","Human Original","Not recognized",-0.432908355500013,-0.450509131532143,-0.413783203464146,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Original","AI Copy","Not recognized",-0.402761457599473,-0.426298350539667,-0.379294327397593,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Original","AI Original","Not recognized",-0.393577248660101,-0.42360126242619,-0.363101873705967,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Original","Human Forgery","Not recognized",-0.388973218061403,-0.417065141501934,-0.361413067675698,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","AI Original","Human Original","Not recognized",-0.398945900079597,-0.418292647945406,-0.379671814995576,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Original","AI Copy","Not recognized",-0.462400866606638,-0.487582811048476,-0.437284699317869,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Original","AI Original","Not recognized",-0.452808231440863,-0.47843916733945,-0.426773844546812,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Original","Human Forgery","Not recognized",-0.448410195972825,-0.483947095805396,-0.41348419307154,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","AI Original","Human Original","Not recognized",-0.458309946849761,-0.479324625948705,-0.43602990520331,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","AI Copy","Not recognized",-0.473784506290014,-0.49324158499905,-0.453916499627222,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","AI Original","Not recognized",-0.464217092250791,-0.486070366902372,-0.442770421360916,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","Human Forgery","Not recognized",-0.460272419841313,-0.485747168352305,-0.434157411613869,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","AI Original","Human Original","Not recognized",-0.469721549142314,-0.488169060977427,-0.450940524033444,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","Human Forgery","AI Copy","AI Copy",0.0325288493759056,0.0177231410935814,0.0479203071985027,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","Human Forgery","AI Original","AI Copy",0.027322158963145,0.0121586075917171,0.0420156341698295,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","Human Forgery","Human Forgery","AI Copy",0.038613253095829,0.0230702471164959,0.0540629619479886,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","Human Forgery","Human Original","AI Copy",0.0493544374471568,0.037209283181348,0.0623706950021795,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","Human Forgery","AI Copy","AI Copy",0.0164273771927428,0.00242103720611837,0.0305188302674256,0.98975,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","Human Forgery","AI Original","AI Copy",0.0112428278801433,-0.00470733803066267,0.0264571703894832,0.91725,FALSE
"MemoryBeliefAppraisal","Belief","AI Original","Human Forgery","Human Forgery","AI Copy",0.022282930940407,0.00741663731761885,0.037767412726212,0.998,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","Human Forgery","Human Original","AI Copy",0.0334469448321248,0.0212753051151779,0.0459407013305736,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","Human Forgery","AI Copy","AI Copy",0.043741781334014,0.0275972890167785,0.0604734244077269,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","Human Forgery","AI Original","AI Copy",0.0383917150784033,0.0215633194401256,0.055640872625587,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","Human Forgery","Human Forgery","AI Copy",0.0494914578358258,0.0313955319747548,0.0684876945047965,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","Human Forgery","Human Original","AI Copy",0.0605270608728672,0.0466806939970932,0.0762562130965579,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","Human Forgery","AI Copy","AI Copy",0.0302321400373557,0.0185544637650145,0.04103709357095,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","Human Forgery","AI Original","AI Copy",0.0247667809820166,0.0123374905431,0.0373736427122167,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","Human Forgery","Human Forgery","AI Copy",0.0362150800794931,0.0227583027256625,0.0489378879664738,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","Human Forgery","Human Original","AI Copy",0.047145429581984,0.0377255873683743,0.0564489441294445,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","Human Forgery","AI Copy","AI Original",-0.057603729835857,-0.0774132902138379,-0.0384431631717016,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","Human Forgery","AI Original","AI Original",-0.0916193475887849,-0.11084041331354,-0.0720421061899009,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","Human Forgery","Human Forgery","AI Original",-0.0322788065232686,-0.0528530556182334,-0.0112071085517473,0.999,TRUE
"MemoryBeliefAppraisal","Belief","AI Copy","Human Forgery","Human Original","AI Original",-0.0207546664927787,-0.0352585302074602,-0.00579850860077204,0.99625,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","Human Forgery","AI Copy","AI Original",-0.0736309748823141,-0.0915894039441615,-0.055977487353707,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","Human Forgery","AI Original","AI Original",-0.107698849623928,-0.128321027996452,-0.0866736115371286,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","Human Forgery","Human Forgery","AI Original",-0.0479998305943864,-0.0694100378177813,-0.0279198899656384,1,TRUE
"MemoryBeliefAppraisal","Belief","AI Original","Human Forgery","Human Original","AI Original",-0.0367886661478207,-0.0515980374330284,-0.022128283522511,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","Human Forgery","AI Copy","AI Original",-0.0465509153618486,-0.0665225369322716,-0.02622228355845,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","Human Forgery","AI Original","AI Original",-0.0802695558018461,-0.101694027590058,-0.059477677281969,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Forgery","Human Forgery","Human Forgery","AI Original",-0.0209957709525007,-0.0446919318011972,0.00281288537049021,0.9555,FALSE
"MemoryBeliefAppraisal","Belief","Human Forgery","Human Forgery","Human Original","AI Original",-0.00969336032548788,-0.0259897504727587,0.00802949302701328,0.858,FALSE
"MemoryBeliefAppraisal","Belief","Human Original","Human Forgery","AI Copy","AI Original",-0.0598769770768261,-0.0760244730105619,-0.0449935543629974,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","Human Forgery","AI Original","AI Original",-0.0939629231960362,-0.111793603090126,-0.0771213117658077,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","Human Forgery","Human Forgery","AI Original",-0.0346398953352172,-0.0538119890259346,-0.0159333196244059,1,TRUE
"MemoryBeliefAppraisal","Belief","Human Original","Human Forgery","Human Original","AI Original",-0.0229839443390342,-0.0356256014715548,-0.0108133745385459,1,TRUE
