"Belief","Parameter","Contrast","Path","Median","CI_low","CI_high","pd"
"Syntheticness","mu","AI-Generated - Human Original","Mediator (Beauty)",-6.36501977252535,-7.29394064857765,-5.44308546411905,1
"Syntheticness","mu","AI-Generated - Human Original","Mediator (Valence)",-6.5568983260327,-7.63994795062589,-5.4893654528327,1
"Syntheticness","mu","AI-Generated - Human Original","Mediator (Meaning)",-10.4688342226279,-11.7603395174849,-9.21592026317417,1
"Syntheticness","mu","AI-Generated - Human Original","Mediator (Worth)",-12.1049710368913,-13.3701242307419,-10.7878374881969,1
"Syntheticness","mu","Human Forgery - Human Original","Total",-2.50123396270657,-4.83042621776327,-0.100116610565465,0.98225
"Syntheticness","mu","Human Forgery - Human Original","Direct",0.0437579650861941,-2.3470193628146,2.35976055703183,0.5145
"Syntheticness","mu","Human Forgery - Human Original","Indirect (joint)",-2.53213970515908,-3.3645703366865,-1.7107185870295,1
"Syntheticness","mu","Human Forgery - Human Original","Indirect (joint, exact)",-2.56234706371068,-3.28230689432432,-1.84008654267755,1
"Syntheticness","mu","Human Forgery - Human Original","Indirect (Beauty)",-0.559764456947968,-1.01289716199982,-0.0774776232638673,0.995
"Syntheticness","mu","Human Forgery - Human Original","Indirect (Valence)",-0.336736419710217,-0.750297222883502,0.0774758132948461,0.9585
"Syntheticness","mu","Human Forgery - Human Original","Indirect (Meaning)",-0.841920531563745,-1.28537221452633,-0.436232983579988,1
"Syntheticness","mu","Human Forgery - Human Original","Indirect (Worth)",-0.770577919685343,-1.72365440633156,0.107917885486075,0.95675
"Syntheticness","mu","Human Forgery - Human Original","Mediator (Beauty)",-3.62835865890395,-4.49333384758917,-2.70132648284384,1
"Syntheticness","mu","Human Forgery - Human Original","Mediator (Valence)",-3.78027782510965,-4.7927097217257,-2.80921939247012,1
"Syntheticness","mu","Human Forgery - Human Original","Mediator (Meaning)",-4.5136642103325,-5.57483282539074,-3.44934506964129,1
"Syntheticness","mu","Human Forgery - Human Original","Mediator (Worth)",-7.12982513022067,-8.14349800423283,-6.0697833184624,1
"Syntheticness","mu","AI-Generated - Human Forgery","Total",-5.97614827444566,-8.37130474018705,-3.50282293246888,1
