"Item","Participant","Condition","Trial1","CueColor","ScreenWidth","ScreenHeight","Beauty","Valence","Meaning","Worth","Trial2","Reality","Authenticity","Category","Subcategory","Style","Artist","Title","Norms_Liking","Norms_Valence","Norms_Arousal","Norms_Complexity","Norms_Familiarity","ManipulationDistrust","SelfRelevance","Beauty2","Emotion"
"20501.jpg","S222","Human Original",45,"Blue",1920,1080,0.243333333333333,0.5,0,0,48,0.955,0.95,"Portrait","Impressionistic tendencies","Impressionist and Expressionist","Degas, Edgar","Duchess of Montejasi",0.206349206349206,0.305555555555556,0.2875,0.5,0.25,0,0.166666666666667,0.288333333333333,"Negative - Low intensity"
"20714.jpg","S222","AI-Generated",24,"Green",1920,1080,0.225,0.333333333333333,0.666666666666667,0.2,15,0.27,0.76,"Portrait","Expressionistic tendencies","Impressionist and Expressionist","Nolde, Emil","Frau mit roter Kapuze",0.619047619047619,0.125,0.8875,0.545454545454545,0,0,0.333333333333333,0.168333333333333,"Negative - High intensity"
"20718.jpg","S222","Human Original",38,"Blue",1920,1080,0.135,0.166666666666667,0.666666666666667,0.4,33,0.28,0.85,"Portrait","Expressionistic tendencies","Impressionist and Expressionist","Bacon, Francis","Studie nach Velazquez Porträt von Papst Innozenz X.",0.634920634920635,0.166666666666667,0.9625,0.704545454545454,0.333333333333333,0,0,0.0966666666666667,"Negative - High intensity"
"21019.jpg","S222","Human Original",3,"Blue",1920,1080,0.616666666666667,0.5,0.166666666666667,0.4,23,0.315,0.26,"Portrait","Realistic tendencies II. (20th century)","Romantic and Realism","Ramos, Mel","Monterey Jackie",0.523809523809524,0.763888888888889,0.7875,0.340909090909091,0,0,0.833333333333333,0.686666666666667,"Positive - High intensity"
"21022.jpg","S222","Human Original",39,"Blue",1920,1080,0.57,0.5,0.166666666666667,0.2,36,0.29,0.715,"Portrait","Realistic tendencies II. (20th century)","Romantic and Realism","Warhol, Andy","David Hockney",0.777777777777778,0.708333333333333,0.725,0.511363636363636,0.25,0,0.666666666666667,0.886666666666667,"Positive - High intensity"
"30201.jpg","S222","AI-Generated",48,"Green",1920,1080,0.926666666666667,0.833333333333333,0.333333333333333,0.2,34,0.925,0.95,"Landscape","Baroque and Rococo","Classical","Carracci, Annibale","River Landscape",1,0.875,0.225,0.784090909090909,0.916666666666667,0,0.666666666666667,0.99,"Positive - Low intensity"
"30211.jpg","S222","Human Forgery",42,"Red",1920,1080,0.835,0.166666666666667,0.833333333333333,0.6,12,0.93,0.815,"Landscape","Baroque and Rococo","Classical","Goyen van, Jan","Landscape with Dunes",0.777777777777778,0.805555555555555,0.25,0.579545454545454,0.75,0,0.333333333333333,0.921666666666667,"Positive - Low intensity"
"30215.jpg","S222","Human Original",35,"Blue",1920,1080,0.953333333333333,0.833333333333333,0.666666666666667,0.8,32,0.86,0.94,"Landscape","Baroque and Rococo","Classical","Koninck de, Philips","A Panoramic Landscape with a County Estate",0.73015873015873,0.680555555555555,0.1375,0.681818181818182,0.583333333333333,0,0.166666666666667,0.906666666666667,"Positive - Low intensity"
"30403.jpg","S222","Human Forgery",46,"Red",1920,1080,0.841666666666667,0.666666666666667,0.666666666666667,0.4,43,0.83,0.405,"Landscape","Realistic tendencies I. (19th century)","Romantic and Realism","Gauermann, Friedrich","Der hohe Steinberg bei Berchtesgaden",0.984126984126984,0.972222222222222,0.2875,0.670454545454545,0.75,0,0.166666666666667,0.976666666666667,"Positive - Low intensity"
"30408.jpg","S222","Human Original",20,"Blue",1920,1080,0.868333333333333,0.833333333333333,0.333333333333333,0.6,22,0.905,0.76,"Landscape","Realistic tendencies I. (19th century)","Romantic and Realism","Waldmüller, Ferdinand","View in the Prater",0.952380952380952,1,0.2875,0.704545454545454,0.833333333333333,0,1,0.968333333333333,"Positive - Low intensity"
