"Participant","Item","RT","Recognition","PerceivedArtificiality","AnswerCondition","AnswerBelief","Condition","Trial1","CueColor","ScreenWidth","ScreenHeight","Beauty","Valence","Meaning","Worth","Trial2","Reality","Authenticity","Category","Subcategory","Style","Artist","Title","Norms_Liking","Norms_Valence","Norms_Arousal","Norms_Complexity","Norms_Familiarity","ManipulationDistrust","SelfRelevance","Beauty2","Emotion","Type","Belief"
"S120","30620.jpg",12.803,"Yes",NA,"Human Original","Human Original","Human Original",15,"Red",1920,953,0.666666666666667,0.833333333333333,0.666666666666667,0.6,33,0.245,0.22,"Landscape","Postimpressionistic tendencies","Impressionist and Expressionist","Bernard, Émile","Molosmes-Yonne",0.793650793650794,0.847222222222222,0.2125,0.590909090909091,0.916666666666667,0,0.5,0.541666666666667,"Positive - Low intensity","Old","AI Copy"
"S120","30403.jpg",9.377,"No",-0.2,"Not recognized","Not recognized","AI-Generated",5,"Green",1920,953,0.628333333333333,0.666666666666667,0.666666666666667,0.4,24,0.26,0.23,"Landscape","Realistic tendencies I. (19th century)","Romantic and Realism","Gauermann, Friedrich","Der hohe Steinberg bei Berchtesgaden",0.984126984126984,0.972222222222222,0.2875,0.670454545454545,0.75,0,0.333333333333333,0.398333333333333,"Positive - Low intensity","Old","AI Copy"
"S120","11027.jpg",13.063,"No",-0.5,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","51219.jpg",10.677,"No",0.8,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","30415.jpg",24.006,"Yes",NA,"AI-Generated","AI Original","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","11127.jpg",12.15,"No",0.2,"Not recognized","Not recognized","Human Original",48,"Red",1920,953,0.288333333333333,0.166666666666667,0.833333333333333,0,23,0.3,0.6,"Scene","Surrealistic tendencies","Abstract and Avant-garde","Fuchs, Ernst","Der Tanz mit dem Tod",0.428571428571429,0.148055555555556,0.8375,0.909090909090909,0.333333333333333,0,0.166666666666667,0.155,"Negative - High intensity","Old","AI Original"
"S120","20501.jpg",13.82,"Yes",NA,"Human Original","Human Original","Human Original",1,"Red",1920,953,0.216666666666667,0.166666666666667,0.5,0.2,3,0.675,0.695,"Portrait","Impressionistic tendencies","Impressionist and Expressionist","Degas, Edgar","Duchess of Montejasi",0.206349206349206,0.305555555555556,0.2875,0.5,0.25,0,0.166666666666667,0.226666666666667,"Negative - Low intensity","Old","Human Original"
"S120","40309.jpg",15.028,"Yes",NA,"Human Forgery","Human Forgery","Human Original",7,"Red",1920,953,0.361666666666667,0.333333333333333,0.333333333333333,0.2,47,0.7,0.63,"Still Life","Idealistic tendencies","Romantic and Realism","Goya de, Francisco José","Still Life with Golden Bream",0.333333333333333,0.291666666666667,0.35,0.443181818181818,0.583333333333333,0,0.166666666666667,0.238333333333333,"Negative - Low intensity","Old","Human Original"
"S120","51328.jpg",11.188,"No",-0.5,"Not recognized","Not recognized","Human Forgery",27,"Blue",1920,953,0.0166666666666667,0,0.166666666666667,0,32,0.66,0.325,"Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Rothko, Mark","Untitled",0.0952380952380953,0.5,0.1,0,0.833333333333333,0,0,0.0833333333333333,"Negative - Low intensity","Old","Human Forgery"
"S120","10139.jpg",10.653,"No",-0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","20126.jpg",10.259,"No",-0.2,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","40224.jpg",17.17,"Yes",NA,"Human Original","Human Original","Human Original",39,"Red",1920,953,0.5,0.666666666666667,0.833333333333333,0.2,36,0.235,0.795,"Still Life","Baroque and Rococo","Classical","Snyders, Frans","Three Monkeys with Fruit",0.793650793650794,0.638888888888889,0.825,0.954545454545454,0.583333333333333,0,0.666666666666667,0.588333333333333,"Positive - High intensity","Old","AI Original"
"S120","20720.jpg",10.634,"No",-0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","40306.jpg",10.904,"No",0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","11026.jpg",14.452,"Yes",NA,"Human Original","Human Original","Human Original",6,"Red",1920,953,0.858333333333333,0.833333333333333,0.833333333333333,0.6,45,0.675,0.715,"Scene","Realistic tendencies II. (20th century)","Romantic and Realism","Fischl, Eric","Barbecue",0.634920634920635,0.722222222222222,0.775,0.693181818181818,0.75,0,0.666666666666667,0.615,"Positive - High intensity","Old","Human Original"
"S120","11029.jpg",11.127,"No",-0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","50908.jpg",11.607,"No",0.4,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","11107.jpg",12.108,"No",0.8,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","51103.jpg",9.148,"No",0,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","50927.jpg",9.572,"No",0.3,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","30407.jpg",8.937,"No",0.1,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","10729.jpg",10.204,"No",-0.4,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","11126.jpg",9.139,"No",-0.3,"Not recognized","Not recognized","AI-Generated",22,"Green",1920,953,0.415,0.333333333333333,0.833333333333333,0,39,0.33,0.24,"Scene","Surrealistic tendencies","Abstract and Avant-garde","Fuchs, Ernst","Triumph des Einhorns",0.365079365079365,0.152777777777778,1,1,0.25,0,0.166666666666667,0.395,"Negative - High intensity","Old","AI Copy"
"S120","20717.jpg",9.994,"No",-0.2,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","41026.jpg",14.28,"Yes",NA,"AI-Generated","AI Copy","Human Original",8,"Red",1920,953,0.428333333333333,0.5,0.166666666666667,0.2,22,0.77,0.255,"Still Life","Realistic tendencies II. (20th century)","Romantic and Realism","Richter, Gerhard","Küchenstuhl",0.571428571428571,0.402777777777778,0.3125,0.295454545454545,0.333333333333333,0,0.5,0.5,"Negative - Low intensity","Old","Human Forgery"
"S120","20722.jpg",11.059,"No",0.2,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","10130.jpg",14.59,"Yes",NA,"Human Original","Human Original","Human Forgery",4,"Blue",1920,953,0.425,0.333333333333333,0.333333333333333,0.2,18,0.3,0.73,"Scene","Renaissance and Mannerism","Classical","School of Fontainbleau","Charon Crossing the Styx",0.53968253968254,0.680555555555555,0.7625,0.625,0.833333333333333,0,0.333333333333333,0.386666666666667,"Positive - High intensity","Old","AI Original"
"S120","51323.jpg",10.879,"No",-0.2,"Not recognized","Not recognized","Human Forgery",35,"Blue",1920,953,0.0983333333333333,0.166666666666667,0.166666666666667,0,17,0.295,0.245,"Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Newman, Barnett","Two Edges",0.555555555555555,0.777777777777778,0.175,0.136363636363636,0.166666666666666,0,0,0.0566666666666666,"Positive - Low intensity","Old","AI Copy"
