"Model","Contrast","Parameter","Difference","CI_low","CI_high","Difference_pct","CI_low_pct","CI_high_pct","pd","Credible","Effect"
"AuthenticitySR","Human Forgery - Human Original","pmid",-0.000104374173450402,-0.00161525297619722,0.00132566461395904,-0.0104374173450402,-0.161525297619722,0.132566461395904,0.56375,FALSE,"n.s."
"AuthenticitySR","AI-Generated - Human Forgery","response",0.012174220078697,-0.00271830548344565,0.027071958126225,1.2174220078697,-0.271830548344565,2.7071958126225,0.943,FALSE,"n.s."
"AuthenticitySR","AI-Generated - Human Forgery","mu",0.0227136564244189,-0.00352663836756398,0.0487552227050455,2.27136564244189,-0.352663836756398,4.87552227050455,0.9545,FALSE,"n.s."
"AuthenticitySR","AI-Generated - Human Forgery","confright",-0.00728835285561802,-0.0193776944555775,0.00495605103716626,-0.728835285561802,-1.93776944555775,0.495605103716626,0.887,FALSE,"n.s."
"AuthenticitySR","AI-Generated - Human Forgery","confleft",-0.0111586412650189,-0.0289031259657031,0.00725175975240341,-1.11586412650189,-2.89031259657031,0.72517597524034,0.88025,FALSE,"n.s."
"AuthenticitySR","AI-Generated - Human Forgery","precright",-0.0972426144999998,-0.33866786905,0.140564676525,NA,NA,NA,0.7805,FALSE,"n.s."
"AuthenticitySR","AI-Generated - Human Forgery","precleft",0.143268469,-0.178310262375,0.465817100250001,NA,NA,NA,0.803,FALSE,"n.s."
"AuthenticitySR","AI-Generated - Human Forgery","pex",0.000933921115151482,-0.00108654122686877,0.00383671702672238,0.0933921115151482,-0.108654122686877,0.383671702672238,0.83975,FALSE,"n.s."
"AuthenticitySR","AI-Generated - Human Forgery","bex",0.0418505883032315,-0.0587953231178348,0.135951303447895,4.18505883032315,-5.87953231178348,13.5951303447895,0.79175,FALSE,"n.s."
"AuthenticitySR","AI-Generated - Human Forgery","pmid",-0.000338300988135694,-0.00186441788398705,0.000997793004074697,-0.0338300988135694,-0.186441788398705,0.0997793004074697,0.70425,FALSE,"n.s."
"ArtificialitySR","New - Old","response",-0.00773867617858359,-0.0386230353037131,0.0250980978501058,-0.773867617858359,-3.86230353037131,2.50980978501058,0.68375,FALSE,"n.s."
"ArtificialitySR","New - Old","mu",-0.0207424682809259,-0.0923050419240655,0.0558401602070174,-2.07424682809259,-9.23050419240655,5.58401602070174,0.7085,FALSE,"n.s."
"ArtificialitySR","New - Old","confright",0.00427970112120163,-0.0176087960614841,0.0237634502937916,0.427970112120163,-1.76087960614841,2.37634502937916,0.662,FALSE,"n.s."
"ArtificialitySR","New - Old","confleft",0.000314330062897716,-0.015010143206017,0.0161814965667271,0.0314330062897716,-1.5010143206017,1.61814965667271,0.51825,FALSE,"n.s."
"ArtificialitySR","New - Old","precright",-0.18234734,-0.44920168725,0.0508835125250001,NA,NA,NA,0.93875,FALSE,"n.s."
"ArtificialitySR","New - Old","precleft",-0.0225220850000001,-0.2887166615,0.25708905725,NA,NA,NA,0.5655,FALSE,"n.s."
"ArtificialitySR","New - Old","pex",-0.00166258790256082,-0.0077379965906364,0.00355070908591075,-0.166258790256082,-0.77379965906364,0.355070908591075,0.72575,FALSE,"n.s."
"ArtificialitySR","New - Old","bex",-0.0294640537944011,-0.0968018271035405,0.0362675793040689,-2.94640537944011,-9.68018271035405,3.62675793040689,0.808,FALSE,"n.s."
"ArtificialitySR","New - Old","pmid",0.000173164543261988,-0.00169731929459876,0.00198090864887141,0.0173164543261988,-0.169731929459876,0.198090864887141,0.5725,FALSE,"n.s."
