"Model","Contrast","Parameter","Difference","CI_low","CI_high","Difference_pct","CI_low_pct","CI_high_pct","pd","Credible","Effect"
"RealityBeauty","AI-Generated - Human Original","response",-0.0375240297522374,-0.0525634893629448,-0.023587066158698,-3.75240297522374,-5.25634893629448,-2.3587066158698,1,TRUE,"Negative"
"RealityBeauty","AI-Generated - Human Original","mu",-0.054153289165704,-0.0790210529323163,-0.0309506009119043,-5.4153289165704,-7.90210529323163,-3.09506009119043,1,TRUE,"Negative"
"RealityBeauty","AI-Generated - Human Original","confright",-0.0175978324274441,-0.0272834901285257,-0.00768377568738912,-1.75978324274441,-2.72834901285257,-0.768377568738912,1,TRUE,"Negative"
"RealityBeauty","AI-Generated - Human Original","confleft",0.00432696619295087,-0.0084920140719086,0.0165871672785061,0.432696619295087,-0.84920140719086,1.65871672785061,0.76175,FALSE,"n.s."
"RealityBeauty","AI-Generated - Human Original","precright",-0.17557008,-0.46071404525,0.106679596,NA,NA,NA,0.89775,FALSE,"n.s."
"RealityBeauty","AI-Generated - Human Original","precleft",-0.16507458,-0.44649233425,0.11925416425,NA,NA,NA,0.86675,FALSE,"n.s."
"RealityBeauty","AI-Generated - Human Original","pex",0.00210810379009452,0.0004637437448115,0.00519581988502049,0.210810379009452,0.04637437448115,0.519581988502049,0.9965,TRUE,"Positive"
"RealityBeauty","AI-Generated - Human Original","bex",-0.0301054195865573,-0.0978747648706582,0.0377353951314547,-3.01054195865573,-9.78747648706582,3.77353951314547,0.8145,FALSE,"n.s."
"RealityBeauty","AI-Generated - Human Original","pmid",-0.000201522435726896,-0.00137259811008129,0.000868129201376371,-0.0201522435726896,-0.137259811008129,0.0868129201376371,0.65175,FALSE,"n.s."
"RealityBeauty","Human Forgery - Human Original","response",-0.00475193215242847,-0.0186814018760657,0.00926183281843263,-0.475193215242847,-1.86814018760657,0.926183281843263,0.74825,FALSE,"n.s."
"RealityBeauty","Human Forgery - Human Original","mu",-0.00530602157182358,-0.028039072455934,0.0183143209106446,-0.530602157182358,-2.8039072455934,1.83143209106446,0.6785,FALSE,"n.s."
"RealityBeauty","Human Forgery - Human Original","confright",-0.00382071675711826,-0.0144680175411067,0.00678233961887272,-0.382071675711826,-1.44680175411067,0.678233961887272,0.76225,FALSE,"n.s."
"RealityBeauty","Human Forgery - Human Original","confleft",0.00321249123571987,-0.00966942074353597,0.0154343224350261,0.321249123571987,-0.966942074353597,1.54343224350261,0.68825,FALSE,"n.s."
"RealityBeauty","Human Forgery - Human Original","precright",0.0106395154999999,-0.26087302675,0.30593840475,NA,NA,NA,0.53275,FALSE,"n.s."
"RealityBeauty","Human Forgery - Human Original","precleft",0.161119965,-0.13956346975,0.55595163875,NA,NA,NA,0.84625,FALSE,"n.s."
"RealityBeauty","Human Forgery - Human Original","pex",0.000461735865130494,-0.00108511986679563,0.00234290321343621,0.0461735865130494,-0.108511986679563,0.234290321343621,0.74275,FALSE,"n.s."
"RealityBeauty","Human Forgery - Human Original","bex",0.0117041315777965,-0.0603101869136758,0.0793176821457263,1.17041315777965,-6.03101869136758,7.93176821457263,0.62225,FALSE,"n.s."
"RealityBeauty","Human Forgery - Human Original","pmid",-0.000786535169786153,-0.00205696588972325,0.000195786315859045,-0.0786535169786153,-0.205696588972325,0.0195786315859045,0.9435,FALSE,"n.s."
"RealityBeauty","AI-Generated - Human Forgery","response",-0.0328624879882176,-0.0482526463044369,-0.0181724641658903,-3.28624879882176,-4.82526463044369,-1.81724641658903,1,TRUE,"Negative"
"RealityBeauty","AI-Generated - Human Forgery","mu",-0.0491007354344127,-0.0733493470933239,-0.024615545406803,-4.91007354344127,-7.33493470933239,-2.4615545406803,1,TRUE,"Negative"
"RealityBeauty","AI-Generated - Human Forgery","confright",-0.0138371813820503,-0.0246724712585796,-0.00237789000944392,-1.38371813820503,-2.46724712585796,-0.237789000944392,0.992,TRUE,"Negative"
"RealityBeauty","AI-Generated - Human Forgery","confleft",0.00127419094208991,-0.0120327380532439,0.0144027100885047,0.127419094208991,-1.20327380532439,1.44027100885047,0.574,FALSE,"n.s."
"RealityBeauty","AI-Generated - Human Forgery","precright",-0.1892731965,-0.52137864275,0.123547566125,NA,NA,NA,0.8845,FALSE,"n.s."
"RealityBeauty","AI-Generated - Human Forgery","precleft",-0.3305521655,-0.744045339750001,0.0183980725899999,NA,NA,NA,0.96975,FALSE,"n.s."
"RealityBeauty","AI-Generated - Human Forgery","pex",0.00162481693823481,-0.000120211203731935,0.00459879783862386,0.162481693823481,-0.0120211203731935,0.459879783862386,0.96125,FALSE,"n.s."
"RealityBeauty","AI-Generated - Human Forgery","bex",-0.0417246616237647,-0.106492002936679,0.024045481575919,-4.17246616237647,-10.6492002936679,2.4045481575919,0.8875,FALSE,"n.s."
"RealityBeauty","AI-Generated - Human Forgery","pmid",0.000592565193099327,-0.000391268213517308,0.00178444164042309,0.0592565193099327,-0.0391268213517308,0.178444164042309,0.88125,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Original","response",-0.0040078131736408,-0.0160775697948115,0.00817752493963078,-0.40078131736408,-1.60775697948115,0.817752493963078,0.7385,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Original","mu",-0.00726251882148737,-0.0278104021257814,0.0137979877038529,-0.726251882148737,-2.78104021257814,1.37979877038529,0.74775,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Original","confright",-0.003237131917596,-0.0131677881873846,0.00687326318098322,-0.3237131917596,-1.31677881873846,0.687326318098322,0.74,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Original","confleft",-0.00571922569117633,-0.0193271700033608,0.0081117122468447,-0.571922569117633,-1.93271700033608,0.81117122468447,0.80125,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Original","precright",0.0887385844999999,-0.136805738,0.337987873,NA,NA,NA,0.77875,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Original","precleft",0.15777183,-0.21123626575,0.509854952,NA,NA,NA,0.8195,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Original","pex",0.0008479340487953,-0.00101752776053102,0.0032809289354772,0.08479340487953,-0.101752776053102,0.32809289354772,0.84075,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Original","bex",0.000285967506156282,-0.0700059096046281,0.0703884336792181,0.0285967506156282,-7.00059096046281,7.03884336792181,0.50275,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Original","pmid",0.000163353894471136,-0.00082498055538215,0.0012554087707712,0.0163353894471136,-0.082498055538215,0.12554087707712,0.64275,FALSE,"n.s."
"AuthenticityBeauty","Human Forgery - Human Original","response",-0.0129885032621889,-0.0255771789691704,-0.000738772484637411,-1.29885032621889,-2.55771789691704,-0.0738772484637411,0.9815,TRUE,"Negative"
"AuthenticityBeauty","Human Forgery - Human Original","mu",-0.0243376356957308,-0.0462710281606663,-0.00377280048391045,-2.43376356957308,-4.62710281606663,-0.377280048391045,0.98875,TRUE,"Negative"
"AuthenticityBeauty","Human Forgery - Human Original","confright",0.00158673996483494,-0.00833019606895967,0.011430835950727,0.158673996483494,-0.833019606895967,1.1430835950727,0.627,FALSE,"n.s."
"AuthenticityBeauty","Human Forgery - Human Original","confleft",0.000986115901725371,-0.012161707937977,0.0146726809323407,0.0986115901725371,-1.2161707937977,1.46726809323407,0.55675,FALSE,"n.s."
"AuthenticityBeauty","Human Forgery - Human Original","precright",0.13210356,-0.08518592895,0.39528853675,NA,NA,NA,0.88525,FALSE,"n.s."
"AuthenticityBeauty","Human Forgery - Human Original","precleft",0.102580615,-0.27580013475,0.5174705585,NA,NA,NA,0.693,FALSE,"n.s."
"AuthenticityBeauty","Human Forgery - Human Original","pex",0.000275435637858594,-0.0015690861769608,0.00238245333175182,0.0275435637858593,-0.15690861769608,0.238245333175182,0.62475,FALSE,"n.s."
"AuthenticityBeauty","Human Forgery - Human Original","bex",-0.0496990361314362,-0.120472367994992,0.0216278452596633,-4.96990361314362,-12.0472367994992,2.16278452596633,0.91375,FALSE,"n.s."
"AuthenticityBeauty","Human Forgery - Human Original","pmid",-0.000476736645006089,-0.00149514438180005,0.000409995318099257,-0.0476736645006089,-0.149514438180005,0.0409995318099257,0.866,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Forgery","response",0.00913381730779045,-0.00365471136722287,0.0218987733164683,0.913381730779045,-0.365471136722287,2.18987733164683,0.91475,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Forgery","mu",0.0174696472481086,-0.00480796313362477,0.0395253340079944,1.74696472481086,-0.480796313362477,3.95253340079944,0.9375,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Forgery","confright",-0.00488336073350343,-0.014902330140679,0.00583758399331398,-0.488336073350343,-1.4902330140679,0.583758399331398,0.81575,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Forgery","confleft",-0.00679371643554505,-0.0211342145118184,0.00753158737050142,-0.679371643554505,-2.11342145118184,0.753158737050142,0.82425,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Forgery","precright",-0.0430360950000002,-0.3324636924975,0.2315158084025,NA,NA,NA,0.62475,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Forgery","precleft",0.0603145335000002,-0.389474824925,0.484786593125,NA,NA,NA,0.5985,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Forgery","pex",0.000553230558263783,-0.0013742007637689,0.0029297376512689,0.0553230558263783,-0.13742007637689,0.29297376512689,0.7315,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Forgery","bex",0.0500595142559434,-0.0231700715132684,0.121109281660287,5.00595142559434,-2.31700715132684,12.1109281660287,0.9075,FALSE,"n.s."
"AuthenticityBeauty","AI-Generated - Human Forgery","pmid",0.000655971823728733,-0.00026761115968239,0.00179672600918977,0.0655971823728733,-0.026761115968239,0.179672600918977,0.9185,FALSE,"n.s."
"RealityBeautyControl","AI-Generated - Human Original","response",-0.0353303372885806,-0.0544423637474513,-0.0176236984483285,-3.53303372885806,-5.44423637474513,-1.76236984483285,1,TRUE,"Negative"
"RealityBeautyControl","AI-Generated - Human Original","mu",-0.0474714590823717,-0.0785427870840023,-0.0192108952661394,-4.74714590823717,-7.85427870840023,-1.92108952661394,0.9995,TRUE,"Negative"
"RealityBeautyControl","AI-Generated - Human Original","confright",-0.0200821698546869,-0.0317689921453095,-0.00756160457606133,-2.00821698546869,-3.17689921453095,-0.756160457606133,1,TRUE,"Negative"
"RealityBeautyControl","AI-Generated - Human Original","confleft",0.00883940468136452,-0.00534602869965555,0.0230770730946654,0.883940468136452,-0.534602869965555,2.30770730946654,0.87975,FALSE,"n.s."
"RealityBeautyControl","AI-Generated - Human Original","precright",-0.26457853,-0.5767227905,0.0242160629499997,NA,NA,NA,0.9645,FALSE,"n.s."
"RealityBeautyControl","AI-Generated - Human Original","precleft",-0.13760427,-0.47657175175,0.1744058335,NA,NA,NA,0.80625,FALSE,"n.s."
"RealityBeautyControl","AI-Generated - Human Original","pex",0.00202957168839602,0.000255572363983072,0.00520055290484061,0.202957168839602,0.0255572363983072,0.520055290484061,0.989,TRUE,"Positive"
"RealityBeautyControl","AI-Generated - Human Original","bex",-0.0536982934499089,-0.140536095341706,0.0312587032401164,-5.36982934499089,-14.0536095341706,3.12587032401164,0.89075,FALSE,"n.s."
"RealityBeautyControl","AI-Generated - Human Original","pmid",-0.00025677832461483,-0.00179510267346675,0.00134478592642556,-0.025677832461483,-0.179510267346675,0.134478592642556,0.62825,FALSE,"n.s."
"RealityBeautyControl","Human Forgery - Human Original","response",-0.00491200006951725,-0.0226836808485605,0.0122012491926045,-0.491200006951725,-2.26836808485605,1.22012491926045,0.708,FALSE,"n.s."
"RealityBeautyControl","Human Forgery - Human Original","mu",-0.00307780221136866,-0.0330483395984407,0.02521497422273,-0.307780221136866,-3.30483395984407,2.521497422273,0.58925,FALSE,"n.s."
"RealityBeautyControl","Human Forgery - Human Original","confright",-0.00471434829310302,-0.0166147381148268,0.00749092834607054,-0.471434829310302,-1.66147381148268,0.749092834607054,0.78675,FALSE,"n.s."
"RealityBeautyControl","Human Forgery - Human Original","confleft",0.00831942587098161,-0.00601716985901858,0.0228010824434197,0.831942587098161,-0.601716985901858,2.28010824434197,0.8725,FALSE,"n.s."
"RealityBeautyControl","Human Forgery - Human Original","precright",0.0130873820000001,-0.27724296775,0.32796814375,NA,NA,NA,0.53325,FALSE,"n.s."
"RealityBeautyControl","Human Forgery - Human Original","precleft",0.243466855,-0.112865869,0.65192813725,NA,NA,NA,0.9155,FALSE,"n.s."
"RealityBeautyControl","Human Forgery - Human Original","pex",-0.000159739906235794,-0.00192685462581214,0.00138821419629244,-0.0159739906235794,-0.192685462581214,0.138821419629244,0.59325,FALSE,"n.s."
"RealityBeautyControl","Human Forgery - Human Original","bex",0.016182418386857,-0.0724969746340875,0.103551420125765,1.6182418386857,-7.24969746340875,10.3551420125765,0.6325,FALSE,"n.s."
"RealityBeautyControl","Human Forgery - Human Original","pmid",-0.000946347195338807,-0.00262136049267803,0.000383637960243551,-0.0946347195338807,-0.262136049267803,0.0383637960243551,0.9135,FALSE,"n.s."
"RealityBeautyControl","AI-Generated - Human Forgery","response",-0.030319625812895,-0.0498511817089467,-0.0121528408399116,-3.0319625812895,-4.98511817089467,-1.21528408399116,0.99925,TRUE,"Negative"
"RealityBeautyControl","AI-Generated - Human Forgery","mu",-0.0440456744144719,-0.0764071723016603,-0.0144492649389111,-4.40456744144719,-7.64071723016603,-1.44492649389111,0.999,TRUE,"Negative"
"RealityBeautyControl","AI-Generated - Human Forgery","confright",-0.0150680357665448,-0.0281693467160038,-0.00206907658569324,-1.50680357665448,-2.81693467160038,-0.206907658569324,0.989,TRUE,"Negative"
"RealityBeautyControl","AI-Generated - Human Forgery","confleft",0.0006147422427632,-0.0142619423984743,0.0150405446772174,0.06147422427632,-1.42619423984743,1.50405446772174,0.5275,FALSE,"n.s."
"RealityBeautyControl","AI-Generated - Human Forgery","precright",-0.2839037,-0.644316627874999,0.0644074869999997,NA,NA,NA,0.947,FALSE,"n.s."
"RealityBeautyControl","AI-Generated - Human Forgery","precleft",-0.3863106,-0.808131393749999,0.00523590775000009,NA,NA,NA,0.9735,FALSE,"n.s."
"RealityBeautyControl","AI-Generated - Human Forgery","pex",0.00217210326664895,0.000391815623494976,0.00564739623130932,0.217210326664895,0.0391815623494976,0.564739623130932,0.99275,TRUE,"Positive"
"RealityBeautyControl","AI-Generated - Human Forgery","bex",-0.0693662760935652,-0.158998830616344,0.0202348970434361,-6.93662760935652,-15.8998830616344,2.02348970434362,0.93725,FALSE,"n.s."
"RealityBeautyControl","AI-Generated - Human Forgery","pmid",0.000729502612269344,-0.000639833337470441,0.00235985310724538,0.0729502612269344,-0.0639833337470441,0.235985310724538,0.85325,FALSE,"n.s."
"AuthenticityBeautyControl","AI-Generated - Human Original","response",-0.0038107323848563,-0.0178430076289711,0.0102440061937942,-0.38107323848563,-1.78430076289711,1.02440061937942,0.70225,FALSE,"n.s."
"AuthenticityBeautyControl","AI-Generated - Human Original","mu",-0.00579659865847981,-0.030441353792016,0.0192832434458008,-0.579659865847981,-3.0441353792016,1.92832434458008,0.66625,FALSE,"n.s."
"AuthenticityBeautyControl","AI-Generated - Human Original","confright",-0.00663552677988338,-0.0184864085615492,0.00587385034340202,-0.663552677988338,-1.84864085615492,0.587385034340202,0.84825,FALSE,"n.s."
"AuthenticityBeautyControl","AI-Generated - Human Original","confleft",-0.00680657109451488,-0.0241516555076953,0.00969060204269088,-0.680657109451488,-2.41516555076953,0.969060204269088,0.79125,FALSE,"n.s."
"AuthenticityBeautyControl","AI-Generated - Human Original","precright",0.0883296074999997,-0.171918475,0.3297857835,NA,NA,NA,0.7595,FALSE,"n.s."
"AuthenticityBeautyControl","AI-Generated - Human Original","precleft",0.0827665225000001,-0.32206397375,0.508844462,NA,NA,NA,0.66,FALSE,"n.s."
"AuthenticityBeautyControl","AI-Generated - Human Original","pex",0.00104238599259748,-0.000877183449461066,0.00364487202645618,0.104238599259748,-0.0877183449461066,0.364487202645618,0.869,FALSE,"n.s."
"AuthenticityBeautyControl","AI-Generated - Human Original","bex",0.00788494940658213,-0.0874317348633664,0.104504017207341,0.788494940658213,-8.74317348633664,10.4504017207341,0.566,FALSE,"n.s."
"AuthenticityBeautyControl","AI-Generated - Human Original","pmid",-0.000459314536620043,-0.00203812966615913,0.000921353189665702,-0.0459314536620043,-0.203812966615913,0.0921353189665702,0.752,FALSE,"n.s."
