"Participant","MAD","Median","Parameter","Outcome"
"S013",0.00163733283190859,-0.00218813857769967,"ForgOri_resp","Beauty"
"S013",0.0048671511453828,-0.00605422900910921,"AIOri_resp","Beauty"
"S013",0.0030871594216146,-0.00284975020973435,"AIForg_resp","Beauty"
"S014",0.00739354826537274,-0.0159839582430394,"ForgOri_resp","Beauty"
"S014",0.00907268897907721,-0.0425387474811957,"AIOri_resp","Beauty"
"S014",0.0105906265241178,-0.0278035164218992,"AIForg_resp","Beauty"
"S015",0.0196186207726635,-0.0141234319268121,"ForgOri_resp","Beauty"
"S015",0.0258566363258695,-0.00599516362032587,"AIOri_resp","Beauty"
"S015",0.0286948685395453,0.00710130329977454,"AIForg_resp","Beauty"
"S016",0.0162979696788266,0.00671563352141469,"ForgOri_resp","Beauty"
"S016",0.0373721315694201,-0.0426446521162833,"AIOri_resp","Beauty"
"S016",0.0366610868161738,-0.0479560888721934,"AIForg_resp","Beauty"
"S017",0.0183691422953679,-0.00716988287154269,"ForgOri_resp","Beauty"
"S017",0.0262222888821157,-0.0754380977108753,"AIOri_resp","Beauty"
"S017",0.0242854014844746,-0.0657656460499493,"AIForg_resp","Beauty"
"S018",0.0190736666373858,0.0148954893633975,"ForgOri_resp","Beauty"
"S018",0.0289842158446131,-0.0155949368078823,"AIOri_resp","Beauty"
"S018",0.0330403837637886,-0.0345168172361797,"AIForg_resp","Beauty"
"S019",0.0178950713560475,-0.0401929572613985,"ForgOri_resp","Beauty"
"S019",0.0234897553910858,-0.129814779818189,"AIOri_resp","Beauty"
"S019",0.0299763813116441,-0.0873703689524157,"AIForg_resp","Beauty"
"S020",0.0152116559283767,-0.0302660787328384,"ForgOri_resp","Beauty"
"S020",0.0201588272839602,-0.0395493395165042,"AIOri_resp","Beauty"
"S020",0.0216794097193042,-0.00955839774638961,"AIForg_resp","Beauty"
"S021",0.0175087602287065,-0.0515411779215176,"ForgOri_resp","Beauty"
"S021",0.0232853788530039,-0.0534639948214169,"AIOri_resp","Beauty"
"S021",0.0218000816504407,1.69540355763331e-05,"AIForg_resp","Beauty"
"S022",0.0189492439295532,-0.0692044187029811,"ForgOri_resp","Beauty"
"S022",0.0280708582191481,-0.0571826782281483,"AIOri_resp","Beauty"
"S022",0.0319481773890515,0.0144220160612078,"AIForg_resp","Beauty"
