"Type","Predictor","Level","Outcome","Effect","Median","CI_low","CI_high","pd","Table","At","Old (hits)","New (false alarms)","New - Old","pd_fmt"
"joint","SR_w","Old","P(Human Original | recognised)","+2 SD",10.3555389528662,6.1389670910166,14.4137720064949,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Original | recognised)","Extremity",3.78860171717229,-0.335494794235089,7.47772691837982,0.96975,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Original | recognised)","Asymmetry",13.2168776240201,5.9395846277769,20.951321132984,1,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Original | recognised)","-2 SD",-1.11484995185669,-6.94182640703156,4.31027494538246,0.6495,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Original | recognised)","-1 SD",-1.09275620271265,-3.31021624186761,1.04762037810469,0.8355,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Original | recognised)","+1 SD",2.24166882795224,-0.233036937023812,4.62961357517677,0.9595,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Original | recognised)","+2 SD",5.42015670002144,-1.07338789389617,11.2485013944271,0.95025,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Original | recognised)","Extremity",2.12041011541221,-2.1555488903037,6.44587000502545,0.83425,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Original | recognised)","Asymmetry",6.47936723728876,-1.98741029271544,13.9496336461598,0.941,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Original | recognised)","-2 SD",-1.66400551837634,-8.74060154442853,4.64124627009349,0.68525,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Original | recognised)","-1 SD",-1.64533970402208,-4.4115579783054,0.808867447350288,0.899,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Original | recognised)","+1 SD",3.25171299760148,1.25705927207327,5.10841939251876,0.99975,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Original | recognised)","+2 SD",7.97397301698565,3.656618019944,12.4366527945608,0.99925,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Original | recognised)","Extremity",3.15229146065749,-0.773943180496644,7.04680477173896,0.9385,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Original | recognised)","Asymmetry",9.62926154759723,1.54142955610617,17.7849986267985,0.9905,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Forgery | recognised)","-2 SD",0.505583710217556,-2.42939279160448,3.4335800064612,0.62725,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Forgery | recognised)","-1 SD",0.205471972271233,-0.854834227653765,1.34229466161046,0.63625,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Forgery | recognised)","+1 SD",-0.153904173815974,-1.26958587455669,1.07159526557599,0.60075,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Forgery | recognised)","+2 SD",-0.379145169239083,-3.19109439135105,2.83863661120693,0.592,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Forgery | recognised)","Extremity",0.0910888574066604,-2.06525595263492,2.37516107161591,0.53575,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Forgery | recognised)","Asymmetry",-0.866576961745346,-4.62748611717837,3.46692260238819,0.66725,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Forgery | recognised)","-2 SD",-0.31302538772333,-3.61934947924253,3.1973205526144,0.571,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Forgery | recognised)","-1 SD",-0.00511625741923005,-1.29440716474322,1.37176573026018,0.50225,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Forgery | recognised)","+1 SD",-0.324197690692126,-1.28101402819347,0.644206795534819,0.76075,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Forgery | recognised)","+2 SD",-1.05766696036866,-3.2573224184174,1.04037304553848,0.8405,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Forgery | recognised)","Extremity",-0.662329567868646,-2.51435365249297,1.47631101639141,0.73875,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Forgery | recognised)","Asymmetry",-0.7844216464025,-5.03035346772078,2.99140711042085,0.66475,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Forgery | recognised)","-2 SD",0.63244285805299,-2.2587729266191,3.69297907775637,0.661,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Forgery | recognised)","-1 SD",0.214394469781881,-0.916463985051172,1.39979976762935,0.64475,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Forgery | recognised)","+1 SD",-0.0168363298546641,-1.2990013725476,1.30877384436808,0.50925,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Forgery | recognised)","+2 SD",0.104596344040471,-2.95806864731905,3.81240623290549,0.5235,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Forgery | recognised)","Extremity",0.416591282156616,-1.8062466427404,2.83019127268938,0.63025,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Forgery | recognised)","Asymmetry",-0.539376409457901,-5.06346780987421,4.09776719350857,0.59375,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Forgery | recognised)","-2 SD",-0.536771375626367,-3.97198307555026,3.02505161121541,0.61975,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Forgery | recognised)","-1 SD",-0.0942544424649165,-1.49130901266156,1.32749572654259,0.5535,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Forgery | recognised)","+1 SD",-0.283203347939657,-1.37158669135987,0.718463342797003,0.7055,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Forgery | recognised)","+2 SD",-0.986961457638509,-3.32993938406551,1.2601190840633,0.79225,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Forgery | recognised)","Extremity",-0.710781584170852,-2.7307920580288,1.34553316043661,0.7635,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(Human Forgery | recognised)","Asymmetry",-0.462301055315338,-4.91537713794102,3.79694562150162,0.5835,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(AI-Generated | recognised)","-2 SD",2.178639034217,-3.18306963790423,8.32647897020944,0.77975,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(AI-Generated | recognised)","-1 SD",2.02895629310188,-0.0277534187602484,4.33281352230318,0.96725,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(AI-Generated | recognised)","+1 SD",-3.70537977288588,-5.92617739844777,-1.45455717305426,0.9995,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(AI-Generated | recognised)","+2 SD",-8.7274227785198,-13.8344264171439,-3.05351680184755,0.99875,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(AI-Generated | recognised)","Extremity",-3.24396134444668,-7.35826056725035,1.23814306408729,0.929,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(AI-Generated | recognised)","Asymmetry",-10.912714245774,-18.325704304778,-4.04165975521158,0.99925,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(AI-Generated | recognised)","-2 SD",2.9845370994832,-3.64069533638797,9.87021949904325,0.813,"Probability (pp)",NA,NA,NA,NA,NA
