"Type","Predictor","Level","Outcome","Effect","Median","CI_low","CI_high","pd","Table","At","Old (hits)","New (false alarms)","New - Old","pd_fmt"
"unique","SR_w","New","P(Human Forgery | recognised)","-2 SD",-0.339836848429189,-5.40532319133603,5.39784343456248,0.54875,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Forgery | recognised)","-1 SD",-0.0561776649463042,-2.13235359266882,2.37699988733411,0.5205,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Forgery | recognised)","+1 SD",-0.153585529806278,-1.96452652570472,1.86604536209957,0.563,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Forgery | recognised)","+2 SD",-0.458448197803442,-4.50910687405766,3.93473857177172,0.57575,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Forgery | recognised)","Extremity",-0.242229119089366,-3.41560193037666,2.86632399674667,0.56225,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(Human Forgery | recognised)","Asymmetry",-0.113280687738881,-7.90086217305499,7.52601087672853,0.5095,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(AI-Generated | recognised)","-2 SD",-0.445774088851593,-8.71650931827427,8.44303139790314,0.5425,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(AI-Generated | recognised)","-1 SD",0.978004003819905,-2.42430171770104,4.45064561925645,0.71075,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(AI-Generated | recognised)","+1 SD",-3.22112666147257,-6.48329829849266,-0.0397548936519101,0.978,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(AI-Generated | recognised)","+2 SD",-8.10732770807887,-14.9354948994712,-0.612496617219946,0.9835,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(AI-Generated | recognised)","Extremity",-4.27683741393649,-9.72856405980549,2.02724919523361,0.92375,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","New","P(AI-Generated | recognised)","Asymmetry",-7.72464022483133,-19.0088166276373,3.12758679494502,0.924,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(AI-Generated | recognised)","-2 SD",7.46836873454902,-2.63244389722102,17.195337257978,0.93075,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(AI-Generated | recognised)","-1 SD",3.79221164666726,0.159853054101699,7.65176731899793,0.97925,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(AI-Generated | recognised)","+1 SD",-3.73347178641475,-6.55715904574981,-0.849704131157765,0.9955,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(AI-Generated | recognised)","+2 SD",-7.37285563286268,-13.165699963875,-0.674702699345008,0.98725,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(AI-Generated | recognised)","Extremity",0.0598585740594579,-5.70610686162665,5.86862328859962,0.50925,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","New","P(AI-Generated | recognised)","Asymmetry",-14.7547569712919,-26.9610270578328,-3.10443510691412,0.9945,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(AI-Generated | recognised)","-2 SD",-4.84939339622823,-12.3672783996162,3.3713345896744,0.87175,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(AI-Generated | recognised)","-1 SD",-1.25327095483617,-4.5572644171839,2.31595710344196,0.762,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(AI-Generated | recognised)","+1 SD",-1.29190659513029,-4.81829965970805,2.23503852718255,0.77075,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(AI-Generated | recognised)","+2 SD",-4.91045523622787,-13.2794758354667,2.83805693821064,0.8835,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(AI-Generated | recognised)","Extremity",-4.75268582677066,-10.0651281099133,1.21439462531391,0.9495,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","New","P(AI-Generated | recognised)","Asymmetry",-0.0523602493656696,-11.7672307198617,11.4264675262672,0.503,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(AI-Generated | recognised)","-2 SD",9.34607658903046,-1.48796217576083,19.4204050460105,0.96425,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(AI-Generated | recognised)","-1 SD",4.20850938088702,0.362723893179393,8.28008929357261,0.9845,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(AI-Generated | recognised)","+1 SD",-3.3352660096932,-6.33550915141482,-0.405882244740511,0.9845,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(AI-Generated | recognised)","+2 SD",-5.89875028419888,-12.0910568389654,0.85907537404789,0.953,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(AI-Generated | recognised)","Extremity",1.78501289018897,-4.06733935977298,7.58722206020441,0.71625,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","New","P(AI-Generated | recognised)","Asymmetry",-15.1040227914021,-28.2126335977066,-1.67520330129947,0.99,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Self-relevance",NA,NA,"n.s.",NA,NA,NA,NA,"Log odds ratio","-2 SD","-0.75 [-1.00, -0.52]","-0.61 [-0.97, -0.27]","0.14 [-0.23, 0.53]","76.58%"
"unique","Self-relevance",NA,NA,"n.s.",NA,NA,NA,NA,"Log odds ratio","+2 SD","0.34 [0.19, 0.51]","0.23 [-0.02, 0.46]","-0.11 [-0.38, 0.16]","79.35%"
"unique","Follow-up beauty",NA,NA,"n.s.",NA,NA,NA,NA,"Log odds ratio","-2 SD","-0.14 [-0.36, 0.06]","-0.35 [-0.65, -0.04]","-0.21 [-0.55, 0.13]","88.40%"
"unique","Follow-up beauty",NA,NA,"n.s.",NA,NA,NA,NA,"Log odds ratio","+2 SD","0.38 [0.14, 0.61]","0.28 [-0.02, 0.62]","-0.10 [-0.48, 0.29]","70.23%"
"joint","Self-relevance",NA,NA,"n.s.",NA,NA,NA,NA,"Log odds ratio","-2 SD","-0.86 [-1.11, -0.65]","-0.82 [-1.15, -0.50]","0.05 [-0.33, 0.40]","60.62%"
"joint","Self-relevance",NA,NA,"n.s.",NA,NA,NA,NA,"Log odds ratio","+2 SD","0.54 [0.38, 0.71]","0.40 [0.16, 0.62]","-0.14 [-0.39, 0.11]","85.62%"
"joint","Follow-up beauty",NA,NA,"n.s.",NA,NA,NA,NA,"Log odds ratio","-2 SD","-0.52 [-0.74, -0.33]","-0.67 [-0.95, -0.36]","-0.15 [-0.51, 0.16]","81.15%"
"joint","Follow-up beauty",NA,NA,"n.s.",NA,NA,NA,NA,"Log odds ratio","+2 SD","0.63 [0.41, 0.87]","0.47 [0.15, 0.75]","-0.16 [-0.49, 0.20]","82.45%"
